y,u
4.687500000000000000e-01,-9.262263487815047824e-02
4.726562500000000000e-01,-8.880900196521501755e-02
4.765625000000000000e-01,-8.499104614563712801e-02
4.804687500000000000e-01,-8.116875494812347824e-02
4.843750000000000000e-01,-7.734210364047555686e-02
4.882812500000000000e-01,-7.351105452172390642e-02
4.921875000000000000e-01,-6.967555644552447802e-02
4.960937500000000000e-01,-6.583554454110007725e-02
5.000000000000000000e-01,-6.199094010087691231e-02
5.039062500000000000e-01,-5.814165060601972357e-02
5.078125000000000000e-01,-5.428756986377791804e-02
5.117187500000000000e-01,-5.042857823283242169e-02
5.156250000000000000e-01,-4.656454291504630305e-02
5.195312500000000000e-01,-4.269531829427108960e-02
5.234375000000000000e-01,-3.882074630468146381e-02
5.273437500000000000e-01,-3.494065681329239226e-02
5.312500000000000000e-01,-3.105486800276224812e-02
5.351562500000000000e-01,-2.716318674230677743e-02
5.390625000000000000e-01,-2.326540893623274542e-02
5.429687500000000000e-01,-1.936131984059485944e-02
5.468750000000000000e-01,-1.545069434011914211e-02
5.507812500000000000e-01,-1.153329717852535907e-02
5.546875000000000000e-01,-7.608883136432709193e-03
5.585937500000000000e-01,-3.677197152295974547e-03
5.625000000000000000e-01,2.620256175251967079e-04
5.664062500000000000e-01,4.209059802285253227e-03
5.703125000000000000e-01,8.164189885803807556e-03
5.742187500000000000e-01,1.212771034184534358e-02
5.781250000000000000e-01,1.609992583603059302e-02
5.820312500000000000e-01,2.008115149333811189e-02
5.859375000000000000e-01,2.407171322934154034e-02
5.898437500000000000e-01,2.807194814227642610e-02
5.937500000000000000e-01,3.208220496199487570e-02
5.976562500000000000e-01,3.610284455061929521e-02
6.015625000000000000e-01,4.013424044847724304e-02
6.054687500000000000e-01,4.417677945759734826e-02
6.093750000000000000e-01,4.823086225351858047e-02
6.132812500000000000e-01,5.229690401466946525e-02
6.171875000000000000e-01,5.637533505680103474e-02
6.210937500000000000e-01,6.046660145831772581e-02
6.250000000000000000e-01,6.457116566031650962e-02
6.289062500000000000e-01,6.868950702320475443e-02
6.328125000000000000e-01,7.282212231961082693e-02
6.367187500000000000e-01,7.696952614120711189e-02
6.406250000000000000e-01,8.113225119473099767e-02
6.445312500000000000e-01,8.531084846014991285e-02
6.484375000000000000e-01,8.950588718169782965e-02
6.523437500000000000e-01,9.371795466008414621e-02
6.562500000000000000e-01,9.794765581194830872e-02
6.601562500000000000e-01,1.021956124604255223e-01
6.640625000000000000e-01,1.064624623186070096e-01
6.679687500000000000e-01,1.107488576257349422e-01
6.718750000000000000e-01,1.150554633945422012e-01
6.757812500000000000e-01,1.193829552265057714e-01
6.796875000000000000e-01,1.237320166508926178e-01
6.835937500000000000e-01,1.281033359431500429e-01
6.875000000000000000e-01,1.324976023778496881e-01
6.914062500000000000e-01,1.369155018720462635e-01
6.953125000000000000e-01,1.413577119762816636e-01
6.992187500000000000e-01,1.458248961722858894e-01
7.031250000000000000e-01,1.503176974391937648e-01
7.070312500000000000e-01,1.548367310539955355e-01
7.109375000000000000e-01,1.593825765964087537e-01
7.148437500000000000e-01,1.639557691340911560e-01
7.187500000000000000e-01,1.685567895710988751e-01
7.226562500000000000e-01,1.731860541501006878e-01
7.265625000000000000e-01,1.778439031081884281e-01
7.304687500000000000e-01,1.825305884962453717e-01
7.343750000000000000e-01,1.872462611831036128e-01
7.382812500000000000e-01,1.919909570783921993e-01
7.421875000000000000e-01,1.967645826212365279e-01
7.460937500000000000e-01,2.015668995964965404e-01
7.500000000000000000e-01,2.063975093554546447e-01
7.539062500000000000e-01,2.112558365335104327e-01
7.578125000000000000e-01,2.161411123737995155e-01
7.617187500000000000e-01,2.210523577818861440e-01
7.656250000000000000e-01,2.259883662528885395e-01
7.695312500000000000e-01,2.309476868281485906e-01
7.734375000000000000e-01,2.359286072532587042e-01
7.773437500000000000e-01,2.409291375229454246e-01
7.812500000000000000e-01,2.459469940101772778e-01
7.851562500000000000e-01,2.509795843866360343e-01
7.890625000000000000e-01,2.560239935489700969e-01
7.929687500000000000e-01,2.610769707696629638e-01
7.968750000000000000e-01,2.661349182926660006e-01
8.007812500000000000e-01,2.711938815920991175e-01
8.046875000000000000e-01,2.762495415074717187e-01
8.085937500000000000e-01,2.812972084619200785e-01
8.125000000000000000e-01,2.863318189622763299e-01
8.164062500000000000e-01,2.913479345740022097e-01
8.203125000000000000e-01,2.963397435646779599e-01
8.242187500000000000e-01,3.013010654238374997e-01
8.281250000000000000e-01,3.062253585056939897e-01
8.320312500000000000e-01,3.111057311216427479e-01
8.359375000000000000e-01,3.159349565562745710e-01
8.398437500000000000e-01,3.207054927316370652e-01
8.437500000000000000e-01,3.254095076528340513e-01
8.476562500000000000e-01,3.300389124082645509e-01
8.515625000000000000e-01,3.345854044735503408e-01
8.554687500000000000e-01,3.390405255163617682e-01
8.593750000000000000e-01,3.433957399966960367e-01
8.632812500000000000e-01,3.476425438224772790e-01
8.671875000000000000e-01,3.517726164080343665e-01
8.710937500000000000e-01,3.557780349693224764e-01
8.750000000000000000e-01,3.596515770362387343e-01
8.789062500000000000e-01,3.633871461590860719e-01
8.828125000000000000e-01,3.669803666622550864e-01
8.867187500000000000e-01,3.704294057949635288e-01
8.906250000000000000e-01,3.737360950432995210e-01
8.945312500000000000e-01,3.769074353661245880e-01
8.984375000000000000e-01,3.799575815504834253e-01
9.023437500000000000e-01,3.829104056354335484e-01
9.062500000000000000e-01,3.858027342845140595e-01
9.101562500000000000e-01,3.886883350174539231e-01
9.140625000000000000e-01,3.916426856330552653e-01
9.179687500000000000e-01,3.947684942039710876e-01
9.218750000000000000e-01,3.982018387416674798e-01
9.257812500000000000e-01,4.021186629848436667e-01
9.296875000000000000e-01,4.067411979622770346e-01
9.335937500000000000e-01,4.123436828576689805e-01
9.375000000000000000e-01,4.192565440887268124e-01
9.414062500000000000e-01,4.278679764794137697e-01
9.453125000000000000e-01,4.386216813649692625e-01
9.492187500000000000e-01,4.520093890695031646e-01
9.531250000000000000e-01,4.685567728684092437e-01
9.570312500000000000e-01,4.888015033124735176e-01
9.609375000000000000e-01,5.132625584853922618e-01
9.648437500000000000e-01,5.424005634828046318e-01
9.687500000000000000e-01,5.765699417586840347e-01
9.726562500000000000e-01,6.159650633344901927e-01
9.765625000000000000e-01,6.605643736865052240e-01
9.804687500000000000e-01,7.100786265055063495e-01
9.843750000000000000e-01,7.639116868211321965e-01
9.882812500000000000e-01,8.211446824002135436e-01
9.921875000000000000e-01,8.805562105830109232e-01
9.960937500000000000e-01,9.406923746924267249e-01
1.000000000000000000e+00,1.000000000000000000e+00
